id,score,binary,question,ground_truth,pred_answer,status
16,0.0,0,¿Qué requisito debe cumplirse al limpiar el panel táctil de la MTPE Machine DAG BR 449?,Debe utilizarse la función «arrancar pantalla de limpieza» en los ajustes de sistema del panel táctil antes de realizar la limpieza.,"Al limpiar el panel táctil, se debe activar el limpia pantallas pulsando el botón durante 30 segundos.",OK
17,1.0,1,¿Cuál es el valor total del equipo indicado en la lista de piezas de recambio de la MTPE Machine DAG BR 449?,"El valor total del equipo es 2.730.000,00 €.","El valor total del equipo indicado en la lista de piezas de recambio de la MTPE Machine DAG BR 449 es 2.730.000,00 €.",OK
19,0.0,0,¿Qué procedimiento administrativo se indica respecto a la validez de precios en la lista de recambios de la MTPE Machine DAG BR 449?,La validez del precio es de hasta 3 meses después de la emisión.,Los documentos disponibles no contienen información sobre el procedimiento administrativo respecto a la validez de precios en la lista de recambios de la MTPE Machine DAG BR 449.,NOT_FOUND_IN_DOCS
20,1.0,1,¿Qué precio unitario tiene la CPU SIMATIC S7-1500F (6ES7517-3FP00-0AB0) en la MTPE Machine DAG BR 449?,"El precio unitario recomendado es 7.017,82 €.","El precio unitario de la CPU SIMATIC S7-1500F (6ES7517-3FP00-0AB0) en la MTPE Machine DAG BR 449 es 7.017,82 €.",OK
22,0.5,1,¿Qué procedimiento de medición de aislamiento se aplica en la BR 449_IP_VAC+ESL_MTP_250-50_with vacuum kit y cuál es la tensión de prueba utilizada?,"Se realiza una medición de aislamiento con una tensión de prueba de 500 V, con valores mínimos exigidos según la clase de protección (Schutzklasse I >0,3MΩ con elementos calefactores, >1MΩ sin elementos calefactores, >2MΩ para partes conductoras accesibles sin conexión SL, Schutzklasse II >2,0MΩ).",En la BR 449_IP_VAC+ESL_MTP_250-50_with vacuum kit se aplica el procedimiento de medición de aislamiento (Isolationsmessung) con una tensión de prueba de 500 V.,OK
24,1.0,1,¿Qué condición debe cumplirse para que el interruptor diferencial (RCD) sea conforme en la BR 449_IP_VAC+ESL_MTP_250-50_with vacuum kit?,El interruptor FI debe disparar con un tiempo aproximado de 40 ms y con una corriente de disparo inferior a 30 mA.,"Para que el interruptor diferencial (RCD) sea conforme en la BR 449_IP_VAC+ESL_MTP_250-50_with vacuum kit, debe cumplir con los siguientes criterios de medición: el FI-Auslösezeit (tiempo de disparo) debe ser aproximadamente 40 ms y el FI-Auslösestrom (corriente de disparo) debe ser menor de 30 mA. En las mediciones realizadas, los valores registrados para varios dispositivos cumplen con estas condiciones, mostrando tiempos de disparo alrededor de 32-33 ms y corrientes de disparo entre 12 y 24 mA.",OK
26,0.5,1,¿Qué procedimiento de medición de aislamiento se aplica en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0 y cuál es la tensión de prueba utilizada?,"Isolationsmessung: Prüfspannung 500V, Schutzklasse I – > 0,3MΩ (mit Heizelementen), Schutzklasse I – > 1MΩ (ohne Heizelementen), > 2MΩ (berührbare, leitfähige Teile ohne SL-Anschluss), Schutzklasse II >2,0MΩ.","En la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0 se aplica el procedimiento de medición de aislamiento (Isolationsmessung) con una tensión de prueba de 500 V. En las mediciones específicas registradas, la tensión de prueba aplicada fue de 521 V.",OK
27,1.0,1,¿Qué valor máximo permitido se indica para la medición de baja resistencia (protective conductor continuity) en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,"Los valores medidos deben ser < 0,10 OHM.","El valor máximo permitido para la medición de baja resistencia (protective conductor continuity) en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0 es < 0,10 ohmios.",OK
28,0.5,1,¿Qué instrumento de medición se utilizó para la prueba de red industrial (Profinet) en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,Se utilizó el equipo de medición WIREEXPERT 4500.,"Para la prueba de red industrial (Profinet) en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0 se utilizó el instrumento de medición WIREEXPERT 4500, con número de serie 462.",OK
29,1.0,1,¿Qué tipo de cable y fabricante se utilizaron en la conexión Profinet de la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,Kabelbezeichnung: lapp etherline 2170894; Steckername: siemens.,En la conexión Profinet de la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0 se utilizó cable lapp etherline y conectores siemens.,OK
31,0.0,0,¿Qué procedimiento de verificación se realizó para la certificación de la red Profinet en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,"Se realizó un Zertifizierungsbericht de Kupfer-Verkabelung con pruebas de Verdrahtung, Einfügedämpfung, Rückflussdämpfung, NEXT, ACR-F y ACR-N, todas con resultado “Bestanden”.",Para la certificación de la red Profinet en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0 se realizó una medición de Profinet (Profinetmessung) con el equipo WIREEXPERT 4500 (número 462) el 18.10.2024. Los resultados detallados de la medición se encuentran en el protocolo correspondiente.,OK
32,1.0,1,¿Qué estándar de cableado se utilizó en la conexión Profinet de la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,Verdrahtung: T568B.,El estándar de cableado utilizado en la conexión Profinet de la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0 es T568B.,OK
33,1.0,1,¿Qué advertencia general debe cumplirse antes de realizar cualquier tarea de mantenimiento en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,"¡Antes de llevar a cabo ninguna tarea de mantenimiento, lea atentamente los datos de los puntos de mantenimiento!","Antes de realizar cualquier tarea de mantenimiento, se debe leer atentamente los datos de los puntos de mantenimiento.",OK
34,0.5,1,¿Qué procedimiento debe seguirse para asegurar la instalación frente a una reconexión durante tareas de mantenimiento en la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,Señalice y cierre la instalación antes de las tareas de reparación («¡La instalación se encuentra en mantenimiento!» / «¡Entrada prohibida a personal no autorizado!»); coloque una advertencia en el interruptor principal; interrumpa el circuito de seguridad y asegúrelo frente a un cierre; cierre y despresurice la conexión de aire comprimido.,"Para asegurar la instalación frente a una reconexión durante tareas de mantenimiento, se deben seguir estos pasos: 1) Señalizar y cerrar la instalación antes de las tareas de reparación con carteles que indiquen '¡La instalación se encuentra en mantenimiento!' y '¡Entrada prohibida a personal no autorizado!'. 2) Colocar una advertencia en el interruptor principal. 3) Interrumpir y asegurar el circuito de seguridad frente a un cierre.",OK
37,1.0,1,¿Cuál es el valor total del equipo indicado en la lista de piezas de recambio de la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,"Total Equipment value = 2.730.000,00 €","El valor total del equipo indicado en la lista de piezas de recambio para la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0 es 2.730.000,00 €.",OK
40,1.0,1,¿Qué condición se establece respecto a la validez de los precios en la lista de piezas de recambio de la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0?,Price validity: up to 3 months after issue,"En la lista de piezas de recambio de la BR 449_IP lower center cover+Glove box_LHD_VAC_TOOL_1+0_1+0, la validez de los precios se establece como ""hasta 3 meses después de la emisión"" (Price validity: up to 3 months after issue).",OK
42,1.0,1,¿Qué valor máximo permitido se indica para la medición de continuidad del conductor de protección en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,Messwerte in OHM: < 0.10,El valor máximo permitido para la medición de continuidad del conductor de protección en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1 es < 0.10 ohmios.,OK
43,0.5,1,¿Qué tensión de prueba se utiliza en la medición de aislamiento de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,Prüfspannung 500V,"La tensión de prueba utilizada en la medición de aislamiento de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1 es de 500 V, según se especifica en el encabezado de la sección de Isolationsmessung. Además, en la tabla de mediciones detalladas, la columna 'Prüfspannung in Volt' muestra valores de 527 V para cada punto medido.",OK
44,1.0,1,¿Qué instrumento de medición se utilizó para la prueba de red industrial en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,Messgerät: WIREEXPERT 4500,Para la prueba de red industrial (Profinetmessung) en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1 se utilizó el instrumento de medición WIREEXPERT 4500.,OK
46,1.0,1,¿Qué estándar de cableado se utilizó en la conexión Profinet de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,Verdrahtung: T568B,En la conexión Profinet de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1 se utilizó el estándar de cableado T568B.,OK
47,1.0,1,¿Qué tipo de cable y fabricante del conector se emplearon en la red Profinet de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,Kabelbezeichnung: lapp etherline 2170894; Steckername: siemens,En la red Profinet de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1 se empleó cable lapp etherline y conectores del fabricante siemens.,OK
49,1.0,1,¿Qué advertencia general debe cumplirse antes de realizar cualquier tarea de mantenimiento en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,"¡Antes de llevar a cabo ninguna tarea de mantenimiento, lea atentamente los datos de los puntos de mantenimiento!","Antes de realizar cualquier tarea de mantenimiento, se debe leer atentamente los datos de los puntos de mantenimiento.",OK
52,0.5,1,¿Qué procedimiento debe seguirse para la lubricación del casquillo guía (04.07.002) en la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,"Lubricación del casquillo guía a mano por medio de una brocha o una boquilla de engrase y una pistola engrasadora. Antes de la utilización de una pistola de engrase, deben limpiarse de forma exhaustiva tanto la pistola de engrase como los puntos de lubricación","El procedimiento para la lubricación del casquillo guía (04.07.002) es: realizar la lubricación a mano por medio de una brocha o una boquilla de engrase y una pistola engrasadora. Antes de usar la pistola de engrase, se deben limpiar exhaustivamente tanto la pistola como los puntos de lubricación. Se debe utilizar lubricante multiusos Permatec SF 04. Esta actividad se realiza con un intervalo de 1 vez al mes o después de 700 horas de servicio.",OK
53,1.0,1,¿Cuál es el valor total del equipo indicado en la lista de piezas de recambio de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,"Total Equipment value = 2.730.000,00 €","El valor total del equipo indicado en la lista de piezas de recambio de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1 es 2.730.000,00 €.",OK
56,1.0,1,¿Qué condición se establece respecto a la validez de los precios en la lista de piezas de recambio de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1?,Price validity: up to 3 months after issue,"En la lista de piezas de recambio de la BR 449_IP top pad_LHD/RHD_ITG_TOOL_1_1, la validez de los precios se establece como ""hasta 3 meses después de la emisión"" (Price validity: up to 3 months after issue).",OK
57,1.0,1,¿Cuál es la tensión nominal y la frecuencia eléctrica del armario de control documentado por FERRO Technik GmbH?,Rated voltage: 3x400V+N+PE TN-S ; Frequency: 50HZ,La tensión nominal del armario de control documentado por FERRO Technik GmbH es 3x400V+N+PE TN-S y la frecuencia eléctrica es 50HZ.,OK
58,0.75,1,¿Qué clase de protección y qué potencia nominal tiene el armario de control del proyecto Small control cabinet?,"Prot. class: IP 54 ; Rated power / rated current: 9,5kW / 25A","El armario de control del proyecto Small control cabinet tiene una clase de protección IP 54 y una potencia nominal de 9,5 kW.",OK
59,1.0,1,¿Qué procedimiento de señalización utiliza la interfaz D-Sub para indicar el estado “In operation”?,Outputsignal for operation of converters: High 24VDC: Converter 1+2 in operation ; Low 0VDC: converter 1+2 standby,"La interfaz D-Sub utiliza el pin 2, denominado ""In operation signal"", para indicar el estado ""In operation"". El procedimiento de señalización consiste en un nivel alto de 24VDC en ese pin para indicar que los convertidores 1 y 2 están en operación, y un nivel bajo de 0VDC para indicar que están en espera.",OK
61,0.5,1,¿Cuál es el uso previsto de la SP3000 máquina láser Trotec?,"La máquina descrita en este manual está concebida exclusivamente para el corte, gravado y marcado láser de no-metal y material de acuerdo con el uso previsto de la máquina utilizando el software suministrado.","El uso previsto de la SP3000 máquina láser Trotec es el corte y grabado de materiales plásticos y otros materiales específicos, como se detalla en la tabla de materiales compatibles.",OK
62,0.5,1,¿Qué procedimiento debe seguir el operador en caso de incendio durante el uso de la SP3000 máquina láser Trotec?,En caso de incendio: Utilice solo extintor de incendios de CO2 para apagar el fuego en la medida en que sea posible sin dañarse usted a usted mismo.,"En caso de incendio durante el uso de la SP3000, el operador debe: 1) Abrir la tapa superior acrílica para detener el proceso de trabajo o presionar el botón de parada de emergencia si está disponible, y desconectar el dispositivo láser. 2) Si procede, desconectar la máquina de los cables de alimentación. 3) Utilizar solo un extintor de incendios de CO₂ para apagar el fuego, en la medida en que sea posible sin dañarse a sí mismo. 4) Informar al experto técnico en protección láser y al supervisor. 5) Seguir las instrucciones de manejo. El trabajo de reparación solo debe correr a cargo de técnicos de servicio de Trotec.",OK
64,1.0,1,¿Qué clase de láser tiene la SP3000 máquina láser Trotec durante el funcionamiento normal?,SP3000 máquina láser Clase 2 (EE.UU.: clase II) en el área de trabajo y en el rango de manejo,La SP3000 máquina láser Trotec tiene una clasificación de láser Clase 2 (EE.UU.: clase II) en el área de trabajo y en el rango de manejo durante el funcionamiento normal.,OK
65,0.5,1,¿Qué tipo de alimentación eléctrica recibe la SP3000 máquina láser Trotec según el esquema AC-Supply?,Einspeisung: 3x 400V AC +N +PE 50/60Hz,"Según el esquema AC-Supply, la SP3000 máquina láser Trotec recibe una alimentación eléctrica de 3x400V / 50Hz, con un sistema TN-S y un fusible de entrada máximo de 25A.",OK
66,0.0,0,¿Qué procedimiento de seguridad está conectado al módulo de interlock en la electrónica de alimentación DC de la SP3000 máquina láser Trotec?,INTERLOCK – PNOZ S7 24VDC PILZ.750 107,El procedimiento de seguridad conectado al módulo de interlock en la electrónica de alimentación DC de la SP3000 máquina láser Trotec es el paro de emergencia (EMG_STP1 y EMG_STP2).,OK
67,1.0,1,¿Qué interfaz de comunicación se utiliza para la conexión de red del láser Synrad i401 en la SP3000 máquina láser Trotec?,RJ-45 ( J8 ) LAN-Interface,La interfaz de comunicación utilizada para la conexión de red del láser Synrad i401 en la máquina láser Trotec SP3000 es una interfaz LAN RJ-45.,OK
68,0.5,1,¿Qué regla define la señal Laser-Active-out en la fuente láser Synrad i401 de la SP3000 máquina láser Trotec?,Laser-Active-out,La señal Laser-Active-out en la fuente láser Synrad i401 de la SP3000 se define como una señal de salida auxiliar que indica que el láser está activo.,OK
71,0.75,1,¿Qué procedimiento de medición de aislamiento se aplica y cuál es la tensión de prueba utilizada en la SE210 Glovebox WELD MTP 180-32 TT?,"Isolationsmessung Prüfspannung 500V Schutzklasse I – > 0,3MΩ (mit Heizelementen) Schutzklasse I – > 1MΩ (ohne Heizelementen) > 2MΩ Schutzklasse II >2,0MΩ",El procedimiento de medición de aislamiento aplicado es una 'Isolationsmessung' (medición de aislamiento) con una tensión de prueba de 500 V.,OK
72,0.0,0,¿Qué condición debe cumplirse para la medición del interruptor diferencial (RCD) en la SE210 Glovebox WELD MTP 180-32 TT?,FI Messung Auslösezeit ~40ms Auslösestrom <30mA,La condición para la medición del interruptor diferencial (RCD) en la SE210 Glovebox WELD MTP 180-32 TT no se encuentra en los documentos disponibles.,NOT_FOUND_IN_DOCS
73,1.0,1,¿Qué advertencia general debe cumplirse antes de realizar cualquier tarea de mantenimiento en la SE210 Glovebox WELD MTP 180-32 TT?,"¡Antes de llevar a cabo ninguna tarea de mantenimiento, lea atentamente los datos de los puntos de mantenimiento!","Antes de realizar cualquier tarea de mantenimiento en la SE210 Glovebox WELD MTP 180-32 TT, se debe leer atentamente los datos de los puntos de mantenimiento.",OK
74,0.0,0,¿Qué procedimiento debe seguirse para evitar la reconexión accidental durante el mantenimiento de la SE210 Glovebox WELD MTP 180-32 TT?,Señalice y cierre la instalación; coloque advertencia en el interruptor principal; interrumpa el circuito de seguridad y asegúrelo frente a un cierre; cierre y despresurice la conexión de aire comprimido.,La información solicitada sobre el procedimiento para evitar la reconexión accidental durante el mantenimiento de la SE210 Glovebox WELD MTP 180-32 TT no se encuentra en los documentos disponibles.,NOT_FOUND_IN_DOCS
77,1.0,1,¿Cuál es el valor total del equipo indicado en la lista de piezas de recambio de la SE210 Glovebox WELD MTP 180-32 TT?,"Total Equipment value = 2.730.000,00 €","El valor total del equipo indicado en la lista de piezas de recambio de la SE210 Glovebox WELD MTP 180-32 TT es 2.730.000,00 €.",OK
80,1.0,1,¿Qué regla se establece sobre la validez de los precios en la lista de repuestos de la SE210 Glovebox WELD MTP 180-32 TT?,Price validity: up to 3 months after issue,La regla establecida sobre la validez de los precios en la lista de repuestos es que la validez de los precios es de hasta 3 meses después de la emisión del documento.,OK
81,1.0,1,¿Cuál es el número de proyecto asociado a los datos de sonotrodos del producto Steering Column Upper Cover VAN E.A?,Project-No.: 100.096.01,El número de proyecto asociado a los datos de sonotrodos del producto Steering Column Upper Cover VAN E.A es 100.096.01.,OK
85,0.5,1,¿Qué instrumento de medición se utilizó para el protocolo de ruido del proyecto Steering Column Mercedes Van EA?,"Instrumento de medición: Norsonic AS, Tipo: NOR 131, Número de serie: 1313879","Para el protocolo de ruido del proyecto Steering Column Mercedes Van EA se utilizó el instrumento de medición Norsonic AS C, tipo NOR 131 Ti.",OK
86,1.0,1,¿Cuál fue el tiempo de ciclo de máquina utilizado durante las mediciones de ruido del proyecto Steering Column Mercedes Van EA?,Tiempo de ciclo máquina de un ciclo: 12 segundos,El tiempo de ciclo de máquina utilizado durante las mediciones de ruido del proyecto Steering Column Mercedes Van EA fue de 12 segundos por ciclo.,OK
88,0.0,0,¿Es necesario el adhesivo de protección auditiva según el protocolo de ruido del proyecto Steering Column Mercedes Van EA?,Necesario adhesivo protección auditiva: no,"Sí, según el protocolo de ruido del proyecto Steering Column Mercedes Van EA, es necesario el adhesivo de protección auditiva.",OK
89,1.0,1,¿Cuál es el valor medio general obtenido en la revisión de capacidad de la máquina del proyecto Steering Column Mercedes VAN EA?,"Valor medio general: µ = Xq/q 4,997","El valor medio general obtenido en la revisión de capacidad de la máquina del proyecto Steering Column Mercedes VAN EA es µ = 4,997.",OK
91,1.0,1,¿Qué instrumento de medición se utilizó en la revisión de capacidad de la máquina del proyecto Steering Column Mercedes VAN EA?,Medio de medición: Digimatic Mini-Prozessor,En la revisión de capacidad de la máquina del proyecto Steering Column Mercedes VAN EA se utilizó el instrumento de medición 'Digimatic Mini-Prozessor'.,OK
92,0.5,1,¿Qué criterio de capacidad de calidad nominal debe cumplirse según el informe?,Cifras de capacidad de calidad nominal Cmk > 1.33,"Según el informe, el criterio de capacidad de calidad nominal que debe cumplirse es C > 1.33.",OK
93,1.0,1,¿Cuál es el objetivo del control general regular de la puerta corredera?,Determinación de la función correcta del completo sistema de seguridad.,El objetivo del control general regular de la puerta corredera es la determinación de la función correcta del completo sistema de seguridad.,OK
94,0.5,1,¿Qué procedimiento debe seguirse para comprobar el funcionamiento de las barras de conmutación en la puerta corredera?,Activando las barras de control es necesario que se active un movimiento de inversión inmediato de la puerta corredera.,"Para comprobar el funcionamiento de las barras de conmutación en la puerta corredera, se debe seguir el procedimiento descrito en la secuencia de control diario: primero, controlar si hay algún daño exterior en las barras de conmutación. Luego, controlar el funcionamiento correcto de las barras de conmutación con el cuerpo de control; al activar las barras de control es necesario que se active un movimiento de inversión inmediato de la puerta corredera.",OK
95,1.0,1,¿Con qué frecuencia se requiere el control del sistema según la norma ASR A1.7 en Alemania?,Según la norma ASR A1.7 se requiere en Alemania un control anual.,Según la norma ASR A1.7 se requiere en Alemania un control anual.,OK
96,1.0,1,¿Qué acción debe realizarse si se detecta un error durante la prueba del sistema de la puerta corredera?,"En caso de suceder algún error durante la prueba, no seguir usando la instalación.","Si se detecta un error durante la prueba del sistema de la puerta corredera, no se debe seguir usando la instalación.",OK
97,1.0,1,¿Cuál es el objetivo del control general regular del portal corredero?,Determinación de la función correcta del completo sistema de seguridad.,El objetivo del control general regular del portal corredero es la determinación de la función correcta del completo sistema de seguridad.,OK
98,1.0,1,¿Qué procedimiento debe seguirse para comprobar la barrera fotoeléctrica del portal corredero?,Controlar el funcionamiento de la barrera fotoeléctrica. (en caso de existir),"Para comprobar la barrera fotoeléctrica del portal corredero, se debe controlar su funcionamiento como parte de la secuencia de control diario.",OK
99,1.0,1,¿Qué norma establece la periodicidad del control del sistema del portal corredero en Alemania?,Según la norma ASR A1.7 se requiere en Alemania un control anual.,"La norma que establece la periodicidad del control del sistema del portal corredero en Alemania es la ASR A1.7, la cual requiere un control anual.",OK
100,0.25,0,¿Qué acción debe realizarse si se detecta un funcionamiento inseguro del sistema?,Con un funcionamiento inseguro del sistema de seguridad es necesario detener la instalación inmediatamente y realizar un control de seguridad completo según el manual de instrucciones y de conexiones.,"Si se detecta un funcionamiento inseguro del sistema, se debe pulsar el pulsador de parada de emergencia.",OK
101,1.0,1,¿Cuál es el objetivo del control diario de la cortina fotoeléctrica?,Determinación de la función correcta de la barrera fotoeléctrica. Control del campo de protección.,El objetivo del control diario de la cortina fotoeléctrica es la determinación de la función correcta de la barrera fotoeléctrica y el control del campo de protección.,OK
102,0.75,1,¿Qué procedimiento debe seguirse para comprobar los haces de luz durante la prueba de la cortina fotoeléctrica?,"Cubrir cuidadosamente cada haz de luz con un cuerpo de prueba que no permita pasar la luz (mín 30mm de diámetro) delante del emisor, entre emisor y receptor, delante del receptor y antes/después de los espejos de refracción.","Para comprobar los haces de luz durante la prueba de la cortina fotoeléctrica, se debe cubrir cuidadosamente cada haz de luz con un cuerpo de prueba opaco (mínimo 30 mm de diámetro) en las siguientes posiciones: directamente delante del emisor, entre el emisor y el receptor (o los espejos de refracción), directamente delante del receptor, y al utilizar espejos de refracción, directamente antes y después del espejo. Antes de tapar cada rayo, se debe controlar que en el aparato evaluador de seguridad reluce el LED verde con el bloqueo de reinicio desactivado y el LED amarillo con el bloqueo de reinicio activado.",OK
104,0.0,0,¿Qué acción debe realizarse si ocurre un error durante la prueba del sistema?,"En caso de suceder algún error durante la prueba, no seguir usando la instalación.","Si ocurre un error durante la prueba del sistema, se debe comprobar siempre los mensajes de error.",OK
105,1.0,1,¿Cuál es el objetivo del control diario del escáner láser?,Determinación de la función correcta de la escáner láser. Control de los campos de protección.,El objetivo del control diario del escáner láser es determinar la función correcta del escáner láser y controlar los campos de protección.,OK
